image_stem,width,height,mean_luminance,grayscale_std,gt_count,tp_count,fn_count,fp_count,max_gt_pairwise_iou
002725,1920,1080,101.00915846836419,53.673351280402876,17,14,3,6,0.25772269522136787
002842,1920,1080,99.91329716435185,65.30170712022046,5,3,2,2,0.02879129628229564
002872,1920,1080,117.35576919367284,44.73449459528055,1,1,0,0,0.0
002877,1920,1080,131.96424479166666,35.583949810323986,1,0,1,0,0.0
002912,1920,1080,116.34447096836419,61.813060893818495,24,16,8,7,0.5276394613710785
002955,1920,1080,100.57684220679012,63.90753680887268,24,10,14,6,0.5224473525396127
002962,1920,1080,90.48461323302469,66.08828124381272,15,3,12,2,0.22933348150625193
003019,1920,1080,109.67006703317901,54.322623781616436,8,7,1,3,0.3726178919801819
003040,1920,1080,119.95390817901234,57.12189404836052,6,3,3,0,0.0
003056,1920,1080,103.22550974151234,55.45785432812728,13,1,12,2,0.19509803169612172
003075,1920,1080,108.74592013888889,62.18614794533519,1,1,0,1,0.0
003090,1920,1080,116.90113570601852,67.28710858933952,9,5,4,5,0.6047023504139593
003096,1920,1080,112.87593846450618,56.48320032299598,19,10,9,5,0.38652569297164147
003124,1920,1080,134.23493103780865,25.4991868481928,1,1,0,0,0.0
003133,1920,1080,111.13357397762346,47.859768965618166,8,4,4,1,0.4149738853429966
003138,1920,1080,111.8064983603395,46.813845083995396,3,3,0,1,0.0
003159,1920,1080,101.63397665895062,60.88663579716171,21,16,5,8,0.37102559398208806
003162,1920,1080,118.50115692515432,47.67810177130502,1,1,0,0,0.0
003192,1920,1080,108.69983989197532,67.60894892899172,6,5,1,0,0.5181604869962304
003200,1920,1080,116.71197723765432,69.77859346233107,6,4,2,1,0.3284103961441737
003257,1920,1080,121.4356606867284,50.43621249444249,7,3,4,8,0.22752766169112318
003265,1920,1080,114.46561005015432,54.63592642940122,34,5,29,6,0.11938526260456389
003299,1920,1080,133.5447198109568,37.25017242668174,8,2,6,0,0.07839367787762294
003348,1920,1080,127.12764467592592,55.16276006197125,1,1,0,1,0.0
003349,1920,1080,117.5816266396605,52.58848343308936,1,1,0,1,0.0
003357,1920,1080,114.86996141975308,47.24574883382507,1,0,1,0,0.0
003393,1920,1080,99.21694637345679,47.97548025283517,4,3,1,0,0.08919419636967363
003411,1920,1080,115.75412567515433,53.92694540205163,8,7,1,1,0.4947531789540808
003421,1920,1080,93.64607204861112,62.43092258847598,11,6,5,7,0.23189995027077248
003455,1920,1080,114.8951316550926,61.88617646306346,14,7,7,5,0.20987227841108344
003487,1920,1080,105.40105613425926,45.74305581747227,7,6,1,5,0.055774798311623484
003489,1920,1080,105.75078993055556,54.2936739262287,19,14,5,8,0.992489617863569
003515,1920,1080,103.10487364969136,60.82093916876816,10,2,8,4,0.11212560435891936
003526,1920,1080,111.09081066743828,50.380372730372166,5,2,3,1,0.0
003543,1920,1080,119.39588107638889,38.95386943764213,2,1,1,0,0.3351583744644048
003546,1920,1080,105.17983458719135,39.65446453519385,5,4,1,2,0.0
003595,1920,1080,121.75463927469136,36.08749253899225,7,7,0,1,0.036666883143747296
003603,1920,1080,121.0571199845679,21.737708124688606,5,5,0,1,0.17139548163674487
003645,1920,1080,110.30429398148148,51.14927446260526,19,3,16,0,0.9908732299384749
003648,1920,1080,101.60721836419754,51.00224525643637,14,5,9,4,0.114792291496885
003679,1920,1080,98.66136863425926,57.74886765779928,9,3,6,2,0.15115157593911308
003709,1920,1080,119.01515817901235,30.712953660376325,3,1,2,0,0.0
003725,1920,1080,115.18182918595679,35.181805752270584,1,0,1,1,0.0
003739,1920,1080,119.06578269675926,49.94676481109028,9,4,5,3,0.11849748737168476
003744,1920,1080,119.10788917824074,46.31777799840943,2,1,1,0,0.0
003766,1920,1080,100.94369261188271,47.757767312143606,3,3,0,3,0.24030490004622398
003782,1920,1080,112.58246720679013,57.70734627689824,4,3,1,3,0.2560254310977003
003794,1920,1080,104.46295910493828,57.27956507275744,1,1,0,0,0.0
003813,1920,1080,106.30262635030864,56.257664104495674,1,1,0,0,0.0
003873,1920,1080,95.8447723765432,51.87382878964074,16,6,10,8,0.3508156985038393
003882,1920,1080,109.69628231095679,37.2895609982563,8,4,4,1,0.0
003919,1920,1080,95.02096354166666,55.20806558598092,4,3,1,0,0.0
003926,1920,1080,108.86189380787037,64.87392066052998,6,5,1,1,0.3499275327080559
003958,1920,1080,113.97951822916667,29.304791007657172,46,15,31,13,0.2955532050579324
003974,1920,1080,105.68937355324074,51.81838422784423,45,23,22,32,0.20391979060469223
003980,1920,1080,110.76878375771605,43.95924893383736,53,25,28,26,0.1178112332804686
